model,method,group_name,seed,output_dir,mixed_F1@0.5,mixed_F1@0.95,mixed_Precision@0.5,mixed_Precision@0.95,mixed_Recall@0.5,mixed_Recall@0.95,mixed_mAP@0.5,mixed_mAP@0.5:0.95,mixed_mAP@0.75,mixed_mAP@0.95,matched_F1@0.5,matched_F1@0.95,matched_Precision@0.5,matched_Precision@0.95,matched_Recall@0.5,matched_Recall@0.95,matched_mAP@0.5,matched_mAP@0.5:0.95,matched_mAP@0.75,matched_mAP@0.95,average_forgetting
nano,replay,nano:replay,44,experiments/suites/thesis_l40_main/model_nano/seed_44/replay,0.10978925948252653,0.006275242616091584,0.06250261627779917,0.003527962659994513,0.9184648708956242,0.09235084258781694,0.6581147340584111,0.4586213770828463,0.5354454172376443,0.013889541969300105,,,,,,,,,,,
small,det_lora,small:det_lora,42,experiments/suites/thesis_l40_main/model_small/seed_42/det_lora,0.029063115989513767,0.003821282837352178,0.014779774951732693,0.0019399856550662055,0.9779538861108924,0.14203565606236998,0.6399308588665175,0.4380357546210311,0.5007930151045717,0.02024460341853382,0.027506490346568945,0.004038274159143884,0.013949636635481063,0.002047413160929119,0.9897962595773523,0.14896857126866647,0.8201291549829367,0.5642054120988917,0.6430767427913434,0.026674780478644827,0.0
small,det_lora,small:det_lora,43,experiments/suites/thesis_l40_main/model_small/seed_43/det_lora,0.028558480927476804,0.004338934744956405,0.014501064785097093,0.002202731753208614,0.9757371930479729,0.14937182482699496,0.6390053020343557,0.4430764891416434,0.5004236810157239,0.021193616299615924,0.027448647246383528,0.004359866410231791,0.013920407897762855,0.0022107307890354795,0.9871706836181543,0.15923341038230035,0.8217394062807806,0.5691038350340949,0.6451266882592511,0.02324776842645515,0.0
small,det_lora,small:det_lora,44,experiments/suites/thesis_l40_main/model_small/seed_44/det_lora,0.03262942603415171,0.003953221576516889,0.016655260814540357,0.0020162660978434157,0.9760607975042497,0.1277755115870717,0.6511349585778051,0.44838034394141996,0.5142440395630973,0.014394104766686538,0.027446098402854235,0.0036763005113452547,0.01391905559572571,0.0018639688824144181,0.9873981780425801,0.1349987889950903,0.8366550856331827,0.5802438098240201,0.6629797038643258,0.023256106263578203,0.0
small,ewc,small:ewc,42,experiments/suites/thesis_l40_main/model_small/seed_42/ewc,0.20214260621401145,0.015532307933622605,0.1843424447580799,0.01551863349440384,0.6934772173955639,0.07884503222472788,0.41222864938848575,0.2869838992231201,0.32790651133121407,0.012023105053572618,,,,,,,,,,,
small,ewc,small:ewc,43,experiments/suites/thesis_l40_main/model_small/seed_43/ewc,0.1821378935876352,0.01633734893157401,0.11385409835459089,0.010236135320274788,0.8384153127539093,0.09803286972630655,0.46153478320730706,0.3200269577761583,0.37226530639525895,0.012950651004287356,,,,,,,,,,,
small,ewc,small:ewc,44,experiments/suites/thesis_l40_main/model_small/seed_44/ewc,0.10758090279939943,0.011719369950371858,0.07164240350871731,0.00812299140776417,0.841769826481212,0.10530670661664067,0.4239190675262538,0.28091779567152697,0.316118473323987,0.011661641775781694,,,,,,,,,,,
small,finetuning,small:finetuning,42,experiments/suites/thesis_l40_main/model_small/seed_42/finetuning,0.08792158410804808,0.003630415989401482,0.12695998051770793,0.0022754040033482327,0.4918815205024705,0.08366092786711632,0.32893959653063115,0.22787766706769405,0.2562447060914174,0.018728435204156412,,,,,,,,,,,
small,finetuning,small:finetuning,43,experiments/suites/thesis_l40_main/model_small/seed_43/finetuning,0.06416647355433722,0.005051846428752136,0.039312774067526444,0.0030572708283923247,0.4791972247444763,0.06387824766325849,0.30528972516971536,0.214122526786791,0.23904465022719545,0.006356356024002407,,,,,,,,,,,
small,finetuning,small:finetuning,44,experiments/suites/thesis_l40_main/model_small/seed_44/finetuning,0.12023014399083361,0.008385102109454451,0.1868057660652754,0.014827204139382348,0.5252432876287894,0.048455985671613376,0.3551996254435261,0.24264386182623396,0.2827538700931382,0.005241521842605629,,,,,,,,,,,
small,replay,small:replay,42,experiments/suites/thesis_l40_main/model_small/seed_42/replay,0.1288548005706727,0.010927736566822312,0.07295443683133758,0.006091162067488062,0.9421915547741033,0.12056757080760777,0.7394259853537436,0.530907103307905,0.6216025345836679,0.0230563484637263,,,,,,,,,,,
small,replay,small:replay,43,experiments/suites/thesis_l40_main/model_small/seed_43/replay,0.13394157216082286,0.014116896617804948,0.07586116894152248,0.008053163967906288,0.9420748226658892,0.14003522168409868,0.6975087179653249,0.49991841083515404,0.5868458546003105,0.025392344582198977,,,,,,,,,,,
small,replay,small:replay,44,experiments/suites/thesis_l40_main/model_small/seed_44/replay,0.12635560551466307,0.00879338277953774,0.07239254116481465,0.00495694712075643,0.9403030486383583,0.08646994397799466,0.6807137224584294,0.47369869318049557,0.5442872054779287,0.014545361021293177,,,,,,,,,,,
